id,word
2009,chunky
2010,monkey
2011,lasting
2012,saturday
2013,afternoon
2014,luv
2015,hurts
2016,destroyed
2017,forbidden
2018,levels
2019,pleasure
2020,ribbon
2021,fill
2022,choclatey
2023,satisfied
2024,crame
2025,tubs
2026,flavorsi
2027,combinationif
2028,changes
2029,batchi
2030,amazed
2031,herejust
2032,gods
2033,gift
2034,nite
2035,reborn
2036,queen
2037,cone
2038,sent
2039,storeended
2040,addictivedefinitely
2041,stressful
2042,looove
2043,loveee
2044,ridic
2045,menopause
2046,goat
2047,godsnostalgic
2048,creations
2049,whim
2050,offering
2051,coupled
2052,mins
2053,cravings
2054,flip
2055,dearest
2056,grace
2057,suspicious
2058,frozen
2059,converted
2060,hot
2061,memories
2062,returned
2063,scouring
2064,horror
2065,conversation
2066,lady
2067,employee
2068,distraught
2069,hungry
2070,calling
2071,standard
2072,deserves
2073,recognized
2074,beauteous
2075,item
2076,audrey
2077,favoritest
2078,evaarrrrrrrr
2079,mascarpone
2080,basically
2081,complete
2082,opposite
2083,hours
2084,packs
2085,punch
2086,hidden
2087,color
2088,isolate
2089,pastry
2090,20
2091,boom
2092,mars
2093,2nd
2094,behind
2095,wrath
2096,thousand
2097,lightning
2098,bolts
2099,plz
2100,devastated
2101,holly
2102,cannoli
2103,passed
2104,aisle
2105,supermarket
2106,marscapone
2107,chocolatey
2108,shell
2109,celebration
2110,bringing
2111,struck
2112,gold
2113,prayers
2114,answered
2115,begin
2116,dude
2117,shells
2118,coated
2119,nonetheless
2120,forget
2121,stumbling
2122,flaour
2123,minis
2124,cute
2125,j
2126,7
2127,hoped
2128,return
2129,luxuriously
2130,fatty
2131,compared
2132,opposing
2133,youd
2134,expect
2135,cannolis
2136,whining
2137,reminiscing
2138,favoriteoverly
2139,unpleasant
2140,aftertaste
2141,tossed
2142,misfire
2143,clearly
2144,recent
2145,expectationsit
2146,under
2147,creamier
2148,attribute
2149,delish
2150,clue
2151,sophisticated
2152,quick
2153,sit
2154,waging
2155,count
2156,listed
2157,skimped
2158,classic
2159,italian
2160,winner
2161,described
2162,ricotta
2163,cheese
2164,cakes
2165,fitting
2166,theme
2167,sake
2168,cheesecake
2169,equally
2170,seamlessly
2171,waffle
2172,fits
2173,mainline
2174,tasteless
2175,cardboard
2176,yourself
2177,walk
2178,whatever
2179,crap
2180,powdered
2181,artificially
2182,blended
2183,bran
2184,reliable
2185,tiramisu
2186,liquor
2187,cheesy
2188,shavings
2189,albertsons
2190,kinds
2191,cuisine
2192,knees
2193,fail
2194,fluffy
2195,variant
2196,rad
2197,couldve
2198,reminiscent
2199,handedly
2200,law
2201,100s
2202,regaled
2203,fiancé
2204,tales
2205,elusive
2206,fast
2207,decade
2208,walks
2209,cones
2210,retired
2211,version
2212,pistachio
2213,roasted
2214,pistachios
2215,bombed
2216,nov0921bj1
2217,5095
2218,2259
2219,67867261
2220,frosting
2221,paid
2222,cinnamon
2223,rose
2224,coming
2225,locally
2226,boston
2227,favoritetastes
2228,claims
2229,sicilys
2230,finest
2231,abomination
2232,tangy
2233,list
2234,refine
2235,american
2236,benefit
2237,hitting
2238,sicilian
2239,preferred
2240,predominantly
2241,artificial
2242,undercooked
2243,enjoying
2244,wasting
2245,underwhelming
2246,filling
2247,important
2248,native
2249,yorker
2250,typical
2251,country
2252,book
2253,working
2254,town
2255,jacksonville
2256,lets
2257,publix
2258,cinnabon
2259,allegedly
2260,utter
2261,monstrosity
2262,butterscotch
2263,inside
2264,lusciousness
2265,league
2266,proud
2267,straight
2268,resemblance
2269,failure
2270,genuinely
2271,waited
2272,compares
2273,goood
2274,tear
2275,crunchies
2276,built
2277,redux
2278,softer
2279,lower
2280,treats
2281,blew
2282,temporary
2283,cloying
2284,seasonal
2285,holiday
2286,king
2287,forgot
2288,sonot
2289,ban
2290,named
2291,suggest
2292,yassss
2293,joking
2294,dies
2295,y
2296,capturing
2297,graham
2298,smart
2299,junkie
2300,disappoints
2301,novel
2302,summer
2303,smores
2304,representation
2305,composed
2306,toasted
2307,marshmallows
2308,crackers
2309,leaves
2310,og
2311,represent
2312,taking
2313,tour
2314,vt
2315,sample
2316,instantly
2317,ct
2318,sat
2319,floor
2320,cried
2321,cracker
2322,slowly
2323,loaded
2324,remain
